Thu Jan 25 10:57:11 EST 2024
fj079
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 300 resnet34
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00004893, 0.00000177, 248.28, 949.57, 42, 0.00005102, 0.00000031, 701.29, 128, 0.00005102, 0.00000031, 701.29, 128, 1.04, 1.04, 0.74, 0.74, 0.17620524
1, 0.00028147, 0.00000023, 72.35, 1715.99, 9, 0.00029325, 0.00001065, 1643.64, 300, 0.00022368, 0.00000044, 2103.86, 384, 1.04, 0.79, 0.96, 1.23, 0.00000001
2, 0.00082516, 0.00000140, 136.95, 1780.60, 16, 0.00180017, 0.00068293, 1643.64, 300, 0.00028512, 0.00000089, 5259.65, 960, 2.18, 0.35, 0.92, 2.95, 0.00000000
3, 0.00002580, 0.00000022, 21.29, 371.94, 11, 0.00002580, 0.00000022, 350.64, 64, 0.00002580, 0.00000022, 350.64, 64, 1.00, 1.00, 0.94, 0.94, 1.00000000
4, 0.00000489, 0.00000004, 1.91, 352.55, 2, 0.00000493, 0.00000009, 350.64, 64, 0.00000493, 0.00000009, 350.64, 64, 1.01, 1.01, 0.99, 0.99, 0.63127165
5, 0.00028500, 0.00000241, 39.23, 1682.87, 11, 0.00028500, 0.00000241, 1643.64, 300, 0.00025146, 0.00000034, 3155.79, 576, 1.00, 0.88, 0.98, 1.88, 0.00004102
6, 0.00038922, 0.00001197, 68.98, 1712.62, 22, 0.00091892, 0.00008338, 1643.64, 300, 0.00039149, 0.00000200, 8064.80, 1472, 2.36, 1.01, 0.96, 4.71, 0.80505375
7, 0.00041850, 0.00000015, 103.35, 1746.99, 22, 0.00078198, 0.00052908, 1643.64, 300, 0.00025487, 0.00000067, 2454.50, 448, 1.87, 0.61, 0.94, 1.40, 0.00000000
8, 0.00004502, 0.00000007, 46.30, 747.58, 27, 0.00005281, 0.00000023, 701.29, 128, 0.00005281, 0.00000023, 701.29, 128, 1.17, 1.17, 0.94, 0.94, 0.00000141
9, 0.00005486, 0.00000002, 82.02, 783.31, 27, 0.00006718, 0.00000022, 701.29, 128, 0.00006718, 0.00000022, 701.29, 128, 1.22, 1.22, 0.90, 0.90, 0.00000016
10, 0.00005376, 0.00000039, 17.28, 367.92, 16, 0.00005376, 0.00000039, 350.64, 64, 0.00005376, 0.00000039, 350.64, 64, 1.00, 1.00, 0.95, 0.95, 1.00000000
11, 0.00017295, 0.00000056, 40.16, 1092.09, 12, 0.00017295, 0.00000056, 1051.93, 192, 0.00017295, 0.00000056, 1051.93, 192, 1.00, 1.00, 0.96, 0.96, 1.00000000
12, 0.00027378, 0.00000200, 65.20, 1708.84, 11, 0.00027378, 0.00000200, 1643.64, 300, 0.00024616, 0.00000014, 3506.44, 640, 1.00, 0.90, 0.96, 2.05, 0.00004118
13, 0.00050881, 0.00000053, 109.85, 1753.49, 20, 0.00059888, 0.00011173, 1643.64, 300, 0.00039691, 0.00000071, 4207.72, 768, 1.18, 0.78, 0.94, 2.40, 0.00000001
14, 0.00054750, 0.00000022, 207.96, 1851.60, 20, 0.00156574, 0.00041375, 1643.64, 300, 0.00032705, 0.00000043, 8064.80, 1472, 2.86, 0.60, 0.89, 4.36, 0.00000000
15, 0.00103621, 0.00022574, 107.30, 1750.94, 17, 0.00129928, 0.00056408, 1643.64, 300, 0.00026725, 0.00000556, 4909.01, 896, 1.25, 0.26, 0.94, 2.80, 0.00854853
16, 0.00002858, 0.00000028, 2.89, 353.53, 2, 0.00002858, 0.00000028, 350.64, 64, 0.00002858, 0.00000028, 350.64, 64, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00063305, 0.00000054, 38.17, 1681.81, 17, 0.00112752, 0.00030396, 1643.64, 300, 0.00055968, 0.00000240, 3857.08, 704, 1.78, 0.88, 0.98, 2.29, 0.00000189
18, 0.00048106, 0.00000047, 119.95, 1763.59, 16, 0.00049272, 0.00000216, 1643.64, 300, 0.00037023, 0.00000071, 4909.01, 896, 1.02, 0.77, 0.93, 2.78, 0.00000001
Top 300 alexnet
