Thu Jan 25 07:41:15 EST 2024
fj077
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 300 resnet34
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00005102, 0.00000031, 29.23, 730.51, 11, 0.00005102, 0.00000031, 701.29, 128, 0.00005102, 0.00000031, 701.29, 128, 1.00, 1.00, 0.96, 0.96, 1.0000
1, 0.00029325, 0.00001065, 71.78, 1715.42, 9, 0.00029325, 0.00001065, 1643.64, 300, 0.00022368, 0.00000044, 2103.86, 384, 1.00, 0.76, 0.96, 1.23, 0.0008
2, 0.00113654, 0.00015432, 297.00, 1940.64, 24, 0.00180017, 0.00068293, 1643.64, 300, 0.00028512, 0.00000089, 5259.65, 960, 1.58, 0.25, 0.85, 2.71, 0.0015
3, 0.00002580, 0.00000022, 21.03, 371.67, 11, 0.00002580, 0.00000022, 350.64, 64, 0.00002580, 0.00000022, 350.64, 64, 1.00, 1.00, 0.94, 0.94, 1.0000
4, 0.00000484, 0.00000005, 1.92, 352.57, 2, 0.00000493, 0.00000009, 350.64, 64, 0.00000493, 0.00000009, 350.64, 64, 1.02, 1.02, 0.99, 0.99, 0.2979
5, 0.00028500, 0.00000241, 39.14, 1682.78, 11, 0.00028500, 0.00000241, 1643.64, 300, 0.00025146, 0.00000034, 3155.79, 576, 1.00, 0.88, 0.98, 1.88, 0.0000
6, 0.00039630, 0.00000025, 70.69, 1714.34, 22, 0.00091892, 0.00008338, 1643.64, 300, 0.00039149, 0.00000200, 8064.80, 1472, 2.32, 0.99, 0.96, 4.70, 0.0279
7, 0.00041945, 0.00000096, 109.58, 1753.23, 22, 0.00078198, 0.00052908, 1643.64, 300, 0.00025487, 0.00000067, 2454.50, 448, 1.86, 0.61, 0.94, 1.40, 0.0000
8, 0.00004834, 0.00000001, 52.71, 754.00, 28, 0.00005281, 0.00000023, 701.29, 128, 0.00005281, 0.00000023, 701.29, 128, 1.09, 1.09, 0.93, 0.93, 0.0000
9, 0.00005383, 0.00000002, 83.04, 784.33, 26, 0.00006718, 0.00000022, 701.29, 128, 0.00006718, 0.00000022, 701.29, 128, 1.25, 1.25, 0.89, 0.89, 0.0000
10, 0.00005376, 0.00000039, 17.29, 367.93, 16, 0.00005376, 0.00000039, 350.64, 64, 0.00005376, 0.00000039, 350.64, 64, 1.00, 1.00, 0.95, 0.95, 1.0000
11, 0.00017295, 0.00000056, 40.26, 1092.19, 12, 0.00017295, 0.00000056, 1051.93, 192, 0.00017295, 0.00000056, 1051.93, 192, 1.00, 1.00, 0.96, 0.96, 1.0000
12, 0.00027378, 0.00000200, 65.74, 1709.38, 11, 0.00027378, 0.00000200, 1643.64, 300, 0.00024616, 0.00000014, 3506.44, 640, 1.00, 0.90, 0.96, 2.05, 0.0000
13, 0.00049679, 0.00001580, 113.92, 1757.56, 20, 0.00059888, 0.00011173, 1643.64, 300, 0.00039691, 0.00000071, 4207.72, 768, 1.21, 0.80, 0.94, 2.39, 0.0009
14, 0.00071002, 0.00000040, 219.38, 1863.02, 20, 0.00156574, 0.00041375, 1643.64, 300, 0.00032705, 0.00000043, 8064.80, 1472, 2.21, 0.46, 0.88, 4.33, 0.0000
15, 0.00095064, 0.00012514, 107.25, 1750.90, 17, 0.00129928, 0.00056408, 1643.64, 300, 0.00026725, 0.00000556, 4909.01, 896, 1.37, 0.28, 0.94, 2.80, 0.0015
16, 0.00002858, 0.00000028, 2.84, 353.48, 2, 0.00002858, 0.00000028, 350.64, 64, 0.00002858, 0.00000028, 350.64, 64, 1.00, 1.00, 0.99, 0.99, 1.0000
17, 0.00061703, 0.00001374, 47.25, 1690.90, 20, 0.00112752, 0.00030396, 1643.64, 300, 0.00055968, 0.00000240, 3857.08, 704, 1.83, 0.91, 0.97, 2.28, 0.0044
18, 0.00045765, 0.00000217, 119.64, 1763.28, 16, 0.00049272, 0.00000216, 1643.64, 300, 0.00037023, 0.00000071, 4909.01, 896, 1.08, 0.81, 0.93, 2.78, 0.0000
Top 300 alexnet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00088035, 0.00000176, 52.71, 1388.25, 12, 0.00130896, 0.00058918, 1335.53, 300, 0.00034878, 0.00000124, 11396.53, 2560, 1.49, 0.40, 0.96, 8.21, 0.0000
1, 0.00091861, 0.00000024, 88.27, 1423.80, 22, 0.00130492, 0.00054550, 1335.53, 300, 0.00075400, 0.00000256, 6553.01, 1472, 1.42, 0.82, 0.94, 4.60, 0.0000
2, 0.00002336, 0.00000000, 13.79, 102.82, 2, 0.00002338, 0.00000004, 89.04, 20, 0.00002338, 0.00000004, 89.04, 20, 1.00, 1.00, 0.87, 0.87, 0.4950
3, 0.00007576, 0.00000038, 23.17, 877.91, 11, 0.00007576, 0.00000038, 854.74, 192, 0.00007576, 0.00000038, 854.74, 192, 1.00, 1.00, 0.97, 0.97, 1.0000
4, 0.00002573, 0.00000013, 1.96, 91.00, 2, 0.00002573, 0.00000013, 89.04, 20, 0.00002573, 0.00000013, 89.04, 20, 1.00, 1.00, 0.98, 0.98, 1.0000
5, 0.00118353, 0.00000153, 139.15, 1474.68, 22, 0.00184012, 0.00094076, 1335.53, 300, 0.00039790, 0.00000237, 5413.35, 1216, 1.55, 0.34, 0.91, 3.67, 0.0000
6, 0.00005116, 0.00000032, 19.85, 589.68, 15, 0.00005116, 0.00000032, 569.83, 128, 0.00005116, 0.00000032, 569.83, 128, 1.00, 1.00, 0.97, 0.97, 1.0000
7, 0.00054447, 0.00000243, 51.29, 1386.82, 14, 0.00054447, 0.00000243, 1335.53, 300, 0.00046674, 0.00000020, 3988.79, 896, 1.00, 0.86, 0.96, 2.88, 0.0000
